"population","g_date","total_waste","dry_waste","wet_waste","geom_id","weight"
1631.34,"2020-09-29",2562.58,535.12,626.17,9,0.29
4558.15,"2020-09-29",257.68,384.31,2051.90,10,0.27
9823.77,"2020-09-29",1395.12,230.18,1736.79,11,0.28
8777.47,"2020-09-29",1634.38,7.72,1214.18,12,0.27
3209.22,"2020-09-29",1353.94,173.13,23.92,13,0.29
2775.93,"2020-09-30",213.88,440.67,230.17,1,0.24
4302.55,"2020-09-30",2037.25,238.66,824.67,2,0.30
6886.51,"2020-09-30",2645.21,312.16,815.87,3,0.21
7870.16,"2020-09-30",1087.38,101.12,763.93,4,0.25
1294.80,"2020-09-30",719.44,338.03,1464.43,5,0.22
2005.38,"2020-09-30",2219.91,272.99,1075.38,6,0.24
606.42,"2020-09-30",979.74,147.12,571.82,7,0.27
34.34,"2020-09-30",235.65,37.19,844.65,8,0.28
7944.71,"2020-09-30",2479.27,294.56,352.96,9,0.27
2555.50,"2020-09-30",579.79,372.96,1332.02,10,0.29
8912.22,"2020-09-30",979.67,111.08,151.30,11,0.30
9113.81,"2020-09-30",937.27,405.93,440.32,12,0.27
8141.70,"2020-09-30",1614.96,87.69,1416.02,13,0.25
3234.76,"2020-10-01",2421.48,190.48,1266.68,1,0.22
6219.79,"2020-10-01",94.15,696.39,357.07,2,0.30
3868.73,"2020-10-01",579.28,142.57,601.56,3,0.24
2299.99,"2020-10-01",965.85,362.72,1507.97,4,0.21
6445.66,"2020-10-01",1843.36,299.91,1167.45,5,0.26
4830.52,"2020-10-01",338.88,282.41,952.87,6,0.29
6922.25,"2020-10-01",2736.57,293.97,1908.38,7,0.22
2897.38,"2020-10-01",327.18,227.00,1195.74,8,0.26
4087.58,"2020-10-01",2085.18,252.87,1961.29,9,0.25
1043.06,"2020-10-01",1667.25,236.17,640.78,10,0.21
8988.09,"2020-10-01",412.76,530.82,1099.73,11,0.22
812.61,"2020-10-01",292.58,154.06,1706.49,12,0.22
2582.07,"2020-10-01",2603.57,272.60,1215.97,13,0.28
9284.40,"2020-10-02",1242.91,555.40,80.35,1,0.29
6218.70,"2020-10-02",1760.02,296.96,1291.72,2,0.25
2538.13,"2020-10-02",985.69,248.90,1443.06,3,0.24
2717.49,"2020-10-02",2376.78,200.99,1653.72,4,0.22
7045.03,"2020-10-02",1297.07,501.19,68.43,5,0.26
2849.15,"2020-10-02",1886.72,500.88,1748.70,6,0.23
1532.03,"2020-10-02",2504.38,391.72,349.02,7,0.21
9148.78,"2020-10-02",519.20,56.10,1726.23,8,0.23
5871.81,"2020-10-02",2645.94,442.33,0.42,9,0.25
6290.33,"2020-10-02",2632.08,98.00,55.34,10,0.22
7537.83,"2020-10-02",1015.00,62.74,2051.49,11,0.24
8223.04,"2020-10-02",1763.87,282.48,1973.65,12,0.29
9484.12,"2020-10-02",874.50,325.79,1754.55,13,0.21
720.08,"2020-10-03",1855.27,502.42,1324.12,1,0.25
7180.12,"2020-10-03",421.32,677.80,390.56,2,0.28
402.06,"2020-10-03",1726.08,110.30,561.89,3,0.28
5571.20,"2020-10-03",92.50,531.08,85.04,4,0.22
4644.23,"2020-10-03",2430.16,146.79,557.74,5,0.27
828.09,"2020-10-03",2235.71,570.74,251.27,6,0.25
5670.34,"2020-10-03",2244.57,359.33,944.82,7,0.23
8871.43,"2020-10-03",2365.57,247.70,63.23,8,0.21
5867.82,"2020-10-03",2053.26,457.82,1217.83,9,0.24
3680.90,"2020-10-03",1183.10,277.20,982.81,10,0.29
360.05,"2020-10-03",1126.14,529.30,1276.31,11,0.24
7626.87,"2020-10-03",337.00,653.78,1461.27,12,0.25
5755.14,"2020-10-03",275.30,223.28,155.10,13,0.26
621.55,"2020-10-04",1402.05,401.35,1129.66,1,0.29
357.21,"2020-10-04",2081.84,309.17,1636.86,2,0.22
5881.34,"2020-10-04",198.29,491.53,958.85,3,0.28
1894.32,"2020-10-04",92.37,669.42,1457.52,4,0.28
2744.54,"2020-10-04",743.34,625.52,10.37,5,0.22
4896.67,"2020-10-04",2794.94,485.61,589.04,6,0.26
9809.76,"2020-10-04",246.42,534.75,1952.27,7,0.26
1555.71,"2020-10-04",1830.66,383.72,725.31,8,0.25
2.51,"2020-10-04",823.27,7.71,1686.58,9,0.29
3484.52,"2020-10-04",326.07,456.42,1523.89,10,0.30
6325.54,"2020-10-04",1084.40,281.24,226.11,11,0.29
6284.52,"2020-10-04",2103.95,578.46,1189.03,12,0.21
6336.84,"2020-10-04",1625.53,455.59,534.64,13,0.26
4937.74,"2020-10-05",933.70,302.10,658.04,1,0.23
7635.13,"2020-10-05",2573.05,465.77,184.31,2,0.23
3147.26,"2020-10-05",1502.87,680.76,1230.54,3,0.23
6433.58,"2020-10-05",1767.03,583.53,703.22,4,0.22
6293.34,"2020-10-05",1529.73,679.84,430.71,5,0.29
1753.57,"2020-10-05",916.08,268.70,1138.92,6,0.28
9512.11,"2020-10-05",100.12,423.41,1928.52,7,0.30
3140.50,"2020-10-05",1897.55,611.49,846.95,8,0.26
2256.27,"2020-10-05",2532.04,496.16,1784.77,9,0.28
8847.42,"2020-10-05",738.35,361.68,185.52,10,0.28
3648.28,"2020-10-05",1553.52,329.56,1740.33,11,0.29
1133.37,"2020-10-05",1282.14,627.52,1021.57,12,0.28
4931.23,"2020-10-05",1317.08,450.24,292.49,13,0.26
8752.50,"2020-10-06",576.60,311.71,1804.14,1,0.28
2144.75,"2020-10-06",2005.36,699.09,409.73,2,0.24
952.73,"2020-10-06",1853.90,477.18,1310.39,3,0.21
3475.15,"2020-10-06",185.50,308.34,1361.34,4,0.27
273.40,"2020-10-06",2310.86,312.87,68.84,5,0.24
349.86,"2020-10-06",2577.30,593.54,1894.08,6,0.22
1649.52,"2020-10-06",2503.82,600.94,193.77,7,0.28
3828.74,"2020-10-06",2468.31,256.45,1176.82,8,0.30
6591.16,"2020-10-06",88.78,591.43,2017.59,9,0.27
3298.62,"2020-10-06",1829.30,643.03,772.12,10,0.27
4363.94,"2020-10-06",314.89,289.98,1839.12,11,0.22
7309.23,"2020-10-06",126.89,643.53,867.92,12,0.25
8998.13,"2020-10-06",2390.32,475.08,573.33,13,0.23
411.93,"2020-10-07",2291.06,387.10,1491.62,1,0.23
883.02,"2020-10-07",218.29,70.01,662.14,2,0.23
1197.42,"2020-10-07",2111.54,478.56,1218.47,3,0.25
8488.38,"2020-10-07",2698.40,524.46,1747.58,4,0.21
7513.10,"2020-10-07",1607.14,172.83,959.71,5,0.26
4025.15,"2020-10-07",1159.31,236.21,1722.91,6,0.22
4815.16,"2020-10-07",883.60,414.10,1157.24,7,0.21
8734.52,"2020-10-07",2026.96,319.02,736.14,8,0.28
8210.73,"2020-10-07",2501.89,338.48,763.55,9,0.23
2313.88,"2020-10-07",2265.06,207.30,372.60,10,0.26
6402.81,"2020-10-07",1087.57,65.57,96.44,11,0.22
6482.65,"2020-10-07",850.43,299.81,1204.00,12,0.28
3649.10,"2020-10-07",2727.59,667.41,1127.48,13,0.24
2337.26,"2020-10-08",1502.21,538.05,1555.00,1,0.30
2466.25,"2020-10-08",63.01,483.79,1718.24,2,0.28
5235.72,"2020-10-08",1509.37,604.94,280.72,3,0.26
4137.84,"2020-10-08",1485.12,423.14,1189.18,4,0.23
4234.78,"2020-10-08",1243.52,442.06,1007.55,5,0.27
5421.55,"2020-10-08",2161.19,369.32,1140.50,6,0.23
3639.99,"2020-10-08",1363.74,55.22,2059.89,7,0.22
8760.89,"2020-10-08",99.08,425.57,282.40,8,0.24
483.10,"2020-10-08",1411.55,36.50,1962.25,9,0.22
3230.82,"2020-10-08",195.79,566.66,795.54,10,0.25
1640.30,"2020-10-08",2645.88,548.57,1935.65,11,0.26
4152.68,"2020-10-08",2402.29,267.53,1399.07,12,0.30
5418.66,"2020-10-08",2366.79,100.55,1947.41,13,0.22
7358.56,"2020-10-09",899.47,278.18,1889.97,1,0.21
159.04,"2020-10-09",2245.47,200.96,1166.56,2,0.29
2048.90,"2020-10-09",1473.25,348.65,19.28,3,0.21
3373.55,"2020-10-09",827.71,455.89,1967.51,4,0.30
1506.45,"2020-10-09",932.39,38.06,2053.34,5,0.22
5744.23,"2020-10-09",2443.97,205.47,543.45,6,0.26
6705.10,"2020-10-09",1826.44,234.39,321.56,7,0.27
827.66,"2020-10-09",169.60,62.21,334.54,8,0.23
2081.19,"2020-10-09",121.27,182.82,1041.38,9,0.29
1817.50,"2020-10-09",1709.65,302.29,1943.39,10,0.26
8972.08,"2020-10-09",950.74,178.20,548.47,11,0.30
2292.17,"2020-10-09",1207.14,600.05,136.46,12,0.25
3748.74,"2020-10-09",590.62,564.21,612.74,13,0.23
6359.18,"2020-10-10",2058.76,421.39,1478.63,1,0.26
8771.40,"2020-10-10",1916.77,233.66,408.29,2,0.26
8714.96,"2020-10-10",2327.80,377.09,117.75,3,0.30
6419.03,"2020-10-10",643.92,191.46,1013.50,4,0.30
150.96,"2020-10-10",1874.74,544.23,1729.05,5,0.24
3381.34,"2020-10-10",1837.49,76.52,1251.31,6,0.22
9797.66,"2020-10-10",156.17,179.29,473.55,7,0.22
7932.12,"2020-10-10",1092.29,153.25,59.95,8,0.26
5145.50,"2020-10-10",1936.22,675.68,1770.38,9,0.28
5686.91,"2020-10-10",1696.43,458.26,2.02,10,0.22
9778.04,"2020-10-10",2686.19,443.65,301.21,11,0.23
4083.73,"2020-10-10",811.73,694.68,1028.05,12,0.24
3765.05,"2020-10-10",2113.15,423.79,1951.80,13,0.21
6131.53,"2020-10-11",2000.81,466.04,742.78,1,0.23
7782.01,"2020-10-11",2553.93,101.02,1335.07,2,0.26
1591.66,"2020-10-11",704.90,373.95,19.47,3,0.28
3599.02,"2020-10-11",2718.17,83.63,816.70,4,0.29
209.75,"2020-10-11",437.49,120.75,892.22,5,0.24
4890.40,"2020-10-11",117.08,34.42,307.53,6,0.23
2480.31,"2020-10-11",587.71,558.85,1052.99,7,0.27
9254.17,"2020-10-11",511.14,346.38,213.78,8,0.23
2037.35,"2020-10-11",2292.65,244.01,1265.74,9,0.29
7481.96,"2020-10-11",582.52,374.48,220.99,10,0.29
118.32,"2020-10-11",2319.45,678.30,610.96,11,0.25
2224.59,"2020-10-11",2505.84,322.23,683.86,12,0.28
4815.33,"2020-10-11",943.43,365.56,438.34,13,0.28
371.12,"2020-10-12",246.11,179.26,1591.43,1,0.25
7911.98,"2020-10-12",1223.76,103.41,781.09,2,0.21
8334.79,"2020-10-12",2770.76,543.27,1586.14,3,0.27
3259.63,"2020-10-12",1463.50,361.16,390.65,4,0.24
9704.82,"2020-10-12",90.75,182.54,1692.04,5,0.28
4216.90,"2020-10-12",1648.16,301.46,761.39,6,0.28
345.07,"2020-10-12",495.16,401.26,1407.90,7,0.29
7597.67,"2020-10-12",544.88,352.23,1528.96,8,0.25
8745.24,"2020-10-12",182.71,73.27,1007.75,9,0.25
9322.57,"2020-10-12",1896.04,90.04,1821.17,10,0.22
4998.46,"2020-10-12",1345.73,177.08,880.46,11,0.24
6241.15,"2020-10-12",2483.59,396.75,246.62,12,0.29
4554.59,"2020-10-12",1812.14,659.98,33.12,13,0.29
7984.26,"2020-10-13",1716.14,396.05,1225.02,1,0.30
473.05,"2020-10-13",801.70,518.95,1253.31,2,0.29
6343.52,"2020-10-13",85.79,347.42,1886.04,3,0.29
8504.87,"2020-10-13",1381.30,67.37,2045.40,4,0.21
9676.15,"2020-10-13",601.31,221.85,461.78,5,0.21
2749.62,"2020-10-13",1651.55,361.55,1695.11,6,0.27
1157.49,"2020-10-13",919.09,178.69,264.44,7,0.30
2532.76,"2020-10-13",1940.51,188.69,350.36,8,0.29
6927.19,"2020-10-13",2548.95,488.95,672.85,9,0.22
713.73,"2020-10-13",484.37,517.86,737.79,10,0.23
7346.65,"2020-10-13",477.36,127.98,317.59,11,0.30
8499.96,"2020-10-13",2235.78,325.42,1487.53,12,0.24
3340.81,"2020-10-13",2456.43,517.18,1927.84,13,0.25
7315.47,"2020-10-14",25.38,390.36,134.79,1,0.26
7505.91,"2020-10-14",2379.15,585.02,971.14,2,0.27
3037.97,"2020-10-14",236.44,75.62,1345.06,3,0.30
8412.73,"2020-10-14",2022.83,26.06,1450.30,4,0.26
2270.63,"2020-10-14",1157.03,392.23,1302.04,5,0.23
5344.74,"2020-10-14",2533.76,283.36,69.73,6,0.22
1269.40,"2020-10-14",773.00,591.90,1747.09,7,0.24
7423.68,"2020-10-14",1927.24,586.18,1789.40,8,0.29
4599.90,"2020-10-14",934.55,647.94,466.51,9,0.26
6926.61,"2020-10-14",1055.72,422.71,636.54,10,0.23
2002.10,"2020-10-14",395.24,319.17,355.03,11,0.22
5530.40,"2020-10-14",1847.63,95.19,867.40,12,0.27
6792.19,"2020-10-14",2543.23,493.73,1588.27,13,0.27
8587.87,"2020-10-15",2378.55,414.11,29.35,1,0.21
4867.09,"2020-10-15",462.70,608.30,256.96,2,0.24
4896.79,"2020-10-15",1634.56,499.01,2098.73,3,0.23
7100.74,"2020-10-15",1542.79,262.58,605.44,4,0.25
4633.44,"2020-10-15",1421.17,611.38,437.08,5,0.29
7675.46,"2020-10-15",851.95,93.47,791.32,6,0.28
9144.33,"2020-10-15",1192.21,688.57,79.01,7,0.28
25.46,"2020-10-15",1684.12,236.66,1192.46,8,0.29
8486.98,"2020-10-15",2122.61,552.71,1182.28,9,0.25
4544.52,"2020-10-15",1499.53,345.56,1164.33,10,0.25
7558.64,"2020-10-15",843.85,391.62,1126.81,11,0.27
4519.54,"2020-10-15",141.67,558.80,1720.81,12,0.25
3927.13,"2020-10-15",629.87,302.80,269.79,13,0.28
2411.79,"2020-10-16",1731.46,289.07,2026.46,1,0.30
2024.87,"2020-10-16",1940.23,184.78,1534.28,2,0.29
4034.36,"2020-10-16",851.15,617.89,371.63,3,0.24
6543.16,"2020-10-16",2164.24,685.33,838.64,4,0.22
4020.20,"2020-10-16",1139.29,182.71,1089.56,5,0.27
7393.71,"2020-10-16",1941.89,109.22,1343.53,6,0.30
5865.08,"2020-10-16",2739.93,172.38,613.35,7,0.25
4172.08,"2020-10-16",88.09,42.53,820.11,8,0.29
8703.96,"2020-10-16",71.55,340.74,609.34,9,0.23
3372.94,"2020-10-16",1179.14,194.84,1824.38,10,0.21
93.33,"2020-10-16",1744.46,440.16,1719.57,11,0.27
2322.36,"2020-10-16",548.94,26.49,196.84,12,0.29
998.30,"2020-10-16",2185.10,659.79,2062.14,13,0.26
5722.22,"2020-10-17",737.44,338.91,537.18,1,0.28
986.68,"2020-10-17",476.83,6.56,143.41,2,0.22
1338.79,"2020-10-17",1412.42,527.02,1961.19,3,0.22
9684.49,"2020-10-17",1154.32,551.06,1291.33,4,0.29
1786.72,"2020-10-17",1478.21,529.63,1935.02,5,0.23
8283.40,"2020-10-17",474.68,359.89,672.36,6,0.28
5117.67,"2020-10-17",351.17,294.33,1830.84,7,0.25
3092.71,"2020-10-17",120.19,164.67,1937.89,8,0.30
675.34,"2020-10-17",1894.60,30.59,1698.23,9,0.26
9170.88,"2020-10-17",285.69,33.29,582.19,10,0.26
1746.70,"2020-10-17",1390.39,628.64,1739.28,11,0.29
7830.14,"2020-10-17",776.15,479.43,248.10,12,0.24
9769.12,"2020-10-17",1001.36,204.12,1016.70,13,0.24
7796.04,"2020-10-18",1930.34,372.97,868.05,1,0.24
8630.43,"2020-10-18",2002.51,251.78,1151.14,2,0.25
8369.43,"2020-10-18",1473.13,180.10,435.10,3,0.30
4985.71,"2020-10-18",1016.55,150.26,299.68,4,0.22
1194.31,"2020-10-18",782.43,377.26,1016.67,5,0.21
3988.58,"2020-10-18",187.69,552.12,1580.10,6,0.21
697.63,"2020-10-18",2368.99,12.58,1772.70,7,0.28
3235.88,"2020-10-18",2328.70,300.25,1819.30,8,0.24
3991.17,"2020-10-18",1424.45,103.29,2064.45,9,0.28
2503.46,"2020-10-18",1089.97,117.96,9.42,10,0.29
9339.51,"2020-10-18",2376.92,417.65,1400.37,11,0.21
7850.93,"2020-10-18",243.59,51.43,2092.42,12,0.25
9048.45,"2020-10-18",688.84,664.41,1263.71,13,0.26
1175.03,"2020-10-19",2114.95,348.44,1434.37,1,0.30
9168.37,"2020-10-19",1255.42,162.84,296.47,2,0.25
5157.84,"2020-10-19",1425.45,362.46,700.07,3,0.30
4359.46,"2020-10-19",1993.72,469.72,1712.86,4,0.29
6854.28,"2020-10-19",185.81,15.82,1089.09,5,0.22
416.19,"2020-10-19",147.50,400.49,1129.39,6,0.21
6707.82,"2020-10-19",1513.72,289.06,1997.11,7,0.21
4436.19,"2020-10-19",2623.97,569.51,238.32,8,0.22
5609.21,"2020-10-19",2772.54,247.01,1066.88,9,0.22
1892.46,"2020-10-19",2777.71,455.28,1666.46,10,0.28
3457.28,"2020-10-19",100.01,199.65,2004.30,11,0.22
5704.80,"2020-10-19",2190.00,577.42,896.60,12,0.24
6082.95,"2020-10-19",944.29,304.71,1149.39,13,0.24
6594.05,"2020-10-20",1258.16,126.34,1222.48,1,0.29
7147.63,"2020-10-20",1655.30,235.73,216.73,2,0.22
3087.79,"2020-10-20",1207.07,259.75,676.89,3,0.29
784.26,"2020-10-20",735.71,673.67,1383.55,4,0.22
9397.91,"2020-10-20",1185.71,363.67,2070.75,5,0.26
9577.26,"2020-10-20",1732.99,513.65,36.52,6,0.27
9091.36,"2020-10-20",58.46,408.89,168.45,7,0.25
6168.69,"2020-10-20",1613.34,351.81,569.34,8,0.22
5414.90,"2020-10-20",1525.11,645.61,350.25,9,0.27
1907.64,"2020-10-20",2240.25,492.19,1413.31,10,0.25
6953.31,"2020-10-20",713.83,203.16,37.31,11,0.24
1192.37,"2020-10-20",522.76,0.12,282.91,12,0.22
2668.91,"2020-10-20",400.90,39.29,955.98,13,0.29
5753.79,"2020-10-21",636.91,267.55,286.49,1,0.27
7390.92,"2020-10-21",2638.33,679.33,362.99,2,0.21
5421.49,"2020-10-21",458.41,623.17,669.66,3,0.21
5153.78,"2020-10-21",1045.55,228.13,640.67,4,0.30
2891.99,"2020-10-21",622.95,613.60,790.93,5,0.21
401.06,"2020-10-21",813.23,691.85,1384.66,6,0.27
8842.01,"2020-10-21",2007.62,520.99,1014.87,7,0.30
3897.25,"2020-10-21",1294.00,443.72,1425.68,8,0.26
5945.03,"2020-10-21",521.29,47.39,1049.12,9,0.22
2619.41,"2020-10-21",2751.67,468.96,1616.78,10,0.22
2219.23,"2020-10-21",983.09,323.65,1275.55,11,0.30
9590.62,"2020-10-21",243.33,364.32,375.58,12,0.25
3504.95,"2020-10-21",823.79,498.86,1403.26,13,0.25
9686.23,"2020-10-22",2785.12,320.45,1923.67,1,0.25
6600.97,"2020-10-22",1693.95,476.75,828.16,2,0.25
1573.96,"2020-10-22",920.82,449.67,1541.95,3,0.29
7607.52,"2020-10-22",1990.69,357.69,380.18,4,0.23
6667.62,"2020-10-22",862.12,152.81,402.20,5,0.24
4637.82,"2020-10-22",2255.56,286.03,321.22,6,0.23
3726.80,"2020-10-22",1878.52,453.46,2002.01,7,0.24
2221.96,"2020-10-22",2287.86,313.33,1858.03,8,0.28
7151.16,"2020-10-22",279.54,60.15,357.16,9,0.29
2515.83,"2020-10-22",1761.19,234.81,1190.04,10,0.28
8113.57,"2020-10-22",2055.92,210.16,1078.63,11,0.25
9058.69,"2020-10-22",1993.73,425.16,160.70,12,0.24
9509.80,"2020-10-22",590.27,15.66,469.01,13,0.22
6071.47,"2020-10-23",1512.17,501.58,88.20,1,0.22
5362.85,"2020-10-23",665.60,173.40,1621.29,2,0.29
2279.40,"2020-10-23",1858.37,135.12,1923.80,3,0.26
2878.65,"2020-10-23",526.51,477.97,833.49,4,0.21
6104.30,"2020-10-23",724.01,607.02,867.12,5,0.29
5791.45,"2020-10-23",1146.24,617.38,689.44,6,0.24
